time,x,y,z,vx,vy,vz,wx,wy,wz,contact,current_angle,mount_z,mount_roll,phase
2.500000000000000139e-02,1.499966868383007523e-01,-2.000135904135695239e-02,1.442495921800785452e-01,-4.230728318038309843e-02,3.942090259018169417e-03,-9.675474764063596994e-04,1.854467203622625973e-04,2.094517128034790836e-03,-2.621666267139753648e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.539082518429626179e-01,-1.114613928740966875e+00,1.000000000000000000e+00
4.999999999999999584e-02,1.499981442795953746e-01,-1.999861450417911996e-02,1.439856821061792080e-01,-6.081347465952308823e-02,3.457949895679936908e-02,1.802771528725800659e-03,1.666982083250783016e-03,3.092813067118331538e-03,-3.794171107062270336e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.528012448848813154e-01,-1.117937654518553314e+00,1.000000000000000000e+00
7.499999999999999722e-02,1.499285135073140374e-01,-2.001673253369717909e-02,1.439768187758079243e-01,3.013868193181661742e-02,-9.020180513869499594e-02,-4.972338456574054363e-03,-5.250789739325785986e-03,-1.652408922160235067e-03,1.014093426233066619e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.525812509723067145e-01,-1.113775954017149905e+00,1.000000000000000000e+00
1.000000000000000194e-01,1.500523950779041604e-01,-1.998422385833479795e-02,1.440093508765492025e-01,-1.867646337093490858e-02,-6.322062162754847614e-03,2.928174990958941609e-03,2.327827209757313276e-04,1.086785948762303364e-03,1.571793050544255128e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.530761834687047518e-01,-1.106105145521840472e+00,1.000000000000000000e+00
1.250000000000000278e-01,1.499742935504173036e-01,-2.002411646945423049e-02,1.440364168880374218e-01,-2.968743179261928294e-02,1.069383364476989146e-01,1.814011297938965608e-02,5.306927197129942056e-03,1.463832132529951403e-03,9.597285140728992366e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.532141643840240541e-01,-1.103748343111231156e+00,1.000000000000000000e+00
1.500000000000000500e-01,1.499702707394170442e-01,-2.002377998434709191e-02,1.440499454123828904e-01,1.601837046331538728e-01,-1.422574610551556040e-01,3.199607117866481304e-02,-7.403114254676700437e-03,-8.521223681315776011e-03,3.591248850524496761e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.531066074648690156e-01,-1.105887103757808188e+00,1.000000000000000000e+00
1.750000000000000722e-01,1.500308138069777475e-01,-1.995371471537561031e-02,1.440590827852628597e-01,-9.401698607274022734e-02,4.636542552165731634e-02,2.784141718071837107e-02,2.709003440089128960e-03,5.347769294567168881e-03,4.146496058941292551e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.529137239619810851e-01,-1.109929526160339019e+00,1.000000000000000000e+00
2.000000000000000944e-01,1.499637387681983514e-01,-2.005122348265643215e-02,1.440650617298186165e-01,-4.344574411066720078e-03,4.969434184896384665e-03,1.687047185511416497e-02,-2.671592586240547837e-05,-2.283752349646738650e-04,4.392844288715481017e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.527478226410080908e-01,-1.112571578563220864e+00,1.000000000000000000e+00
2.250000000000001166e-01,1.500123084600919754e-01,-1.998626101368329577e-02,1.440676395879212923e-01,1.089807256107497152e-01,-5.924215295724580277e-02,7.904836357179133646e-03,-2.919816799536545902e-03,-5.489989740786027812e-03,4.474759435685836395e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.526086598406009354e-01,-1.113409463567227586e+00,1.000000000000000000e+00
2.500000000000001110e-01,1.500126223455419683e-01,-1.998237608373227420e-02,1.440666219184262020e-01,-1.736327066302206790e-01,1.448622505587149611e-01,-7.889865464284155205e-04,7.645647336169698188e-03,9.163863689791613976e-03,-4.656069851580576981e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.528606789643371155e-01,-1.109645237268758189e+00,1.000000000000000000e+00
2.750000000000001332e-01,1.499567868555636563e-01,-2.003920533719748612e-02,1.440678311518489296e-01,6.004247138852979865e-02,-7.336523689523991032e-02,-6.642654507657328941e-03,-4.186287822045276809e-03,-3.463004519687484448e-03,1.725372852705273660e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.529841023049123616e-01,-1.107541265800749075e+00,1.000000000000000000e+00
3.000000000000001554e-01,1.500565126595524434e-01,-1.995510968421767076e-02,1.440683978762854756e-01,1.006749574718727828e-02,8.137282064948693147e-03,-7.903723263726566278e-03,8.755289523413502945e-04,-1.321254734424860341e-04,3.011287472915738983e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.530036100887534389e-01,-1.107235313457687553e+00,1.000000000000000000e+00
3.250000000000001776e-01,1.499748936332494231e-01,-1.999994553634523026e-02,1.440689696283460053e-01,-6.085435559089222290e-02,8.259251567941860994e-02,-2.167652890089734330e-02,4.068932361299524951e-03,2.962957743233574515e-03,6.627032530366052873e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.529449860986485721e-01,-1.108298553310504531e+00,1.000000000000000000e+00
3.500000000000001998e-01,1.499651266015970541e-01,-1.998611869282029829e-02,1.440668180942959176e-01,-7.997986640116620805e-02,-1.463294929325540950e-01,-3.572371024506380832e-02,-7.705301998455553816e-03,4.206419499954495642e-03,-2.557417694335029990e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.528722233241629813e-01,-1.109574746299572867e+00,1.000000000000000000e+00
3.750000000000002220e-01,1.500268066540403067e-01,-2.003288570161206733e-02,1.440677940649982836e-01,6.164304997121717450e-02,-2.970763083627440265e-02,-4.174825340008863489e-02,-1.242155773475430401e-03,-3.367514007775670570e-03,1.805278270960397841e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.528279946403146350e-01,-1.110191342675499904e+00,1.000000000000000000e+00
4.000000000000002442e-01,1.500206892988924789e-01,-1.999193707850555057e-02,1.440670620858342243e-01,1.106590463575235078e-01,7.868004055213134729e-02,-5.317089445613006060e-02,3.994364159270071338e-03,-5.702699558178452553e-03,-1.144423538403303132e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.528555898620064024e-01,-1.109776454686048686e+00,1.000000000000000000e+00
4.250000000000002665e-01,1.500078093246735578e-01,-1.994996781262175709e-02,1.440661612636481292e-01,-1.086960708666513120e-01,9.175214450268910638e-02,-6.390413175258453926e-02,4.807973163670717712e-03,5.833954280197142100e-03,5.710291553196242655e-06,0.000000000000000000e+00,0.000000000000000000e+00,2.528869498806551874e-01,-1.109230628679077846e+00,1.000000000000000000e+00
