Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00119902400080689,0.0676395118380097,-0.000831468763240618,0,0,0,2.61841951961561,0.00289488464735745,1.26632522214081E-05,4.75779358553846E-05,0.0015541400089684,2.51442141340795E-05,0.00380659471612325,0,0,0,0,0,0,package://qbr/meshes/base_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/base_link.STL,,连结底座01-1;QRBY_HAND_PALM_1-1;QRBY_HAND_FINGER_ASM_1-1/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM_1-2/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM_1-3/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM_1-4/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM_1-4/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM_1-4/QRBY_H_R_002-1;QRBY_HAND_FINGER_ASM_1-3/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM_1-3/QRBY_H_R_002-1;QRBY_HAND_FINGER_ASM_1-2/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM_1-2/QRBY_H_R_002-1;QRBY_HAND_FINGER_ASM_1-1/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM_1-1/QRBY_H_R_002-1,坐标系12,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0137751250378393,-0.00981394991394148,0.00208430495133732,0,0,0,0.0848759840699757,6.02792303641558E-06,4.58047907735606E-07,-1.13414482822443E-06,9.43150541499264E-06,1.07407363059388E-07,9.99149179527929E-06,0,0,0,0,0,0,package://qbr/meshes/link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link1.STL,,QRBY_HAND_THUMB_ASM_1-1/QRBY_H_R_016-1,坐标系1,基准轴1,j1,revolute,0.028693,0.069894,0.010325,0,0,0.087266,base_link,0,-1,0,0,0,-1.57,0,,,,,,,,
link2,4.36100697220887E-09,0.0183171211967979,-0.012870354643197,0,0,0,0.189071895133877,4.62451218821649E-05,1.70090875141461E-10,-1.79647819838937E-10,2.71230540243915E-05,1.30744554320643E-05,3.14501850290832E-05,0,0,0,0,0,0,package://qbr/meshes/link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link2.STL,,QRBY_HAND_THUMB_ASM_1-1/QRBY_H_R_014_1-1,坐标系2,基准轴2,j2,revolute,0.02679,-0.0045,0.0045976,3.0557,-1.3935,3.1416,link1,1,0,0,0,0,-1.57,0,,,,,,,,
link3,-0.00555064313303445,0.00539090806696246,-0.0144478834389504,0,0,0,0.0765978194144121,8.30143631907092E-06,-2.64543837885093E-09,6.33140406065459E-10,5.90636128499543E-06,1.96617508560125E-06,6.16162484246875E-06,0,0,0,0,0,0,package://qbr/meshes/link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link3.STL,,QRBY_HAND_THUMB_ASM_1-1/QRBY_H_R_012-1,坐标系3,基准轴3,j3,revolute,0.0055478,0.0413,-0.024172,0,0,0,link2,-1,0,0,0,0,-1.57,0,,,,,,,,
link4,-0.0036569973005798,0.0162113209076923,0.000273547127676674,0,0,0,0.0686348714224919,7.33254847238726E-06,-2.66340785344831E-12,1.08765083632757E-12,2.87970755794507E-06,5.37142487415021E-07,7.422847187087E-06,0,0,0,0,0,0,package://qbr/meshes/link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link4.STL,,QRBY_HAND_FINGER_ASM_1-4/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM_1-4/QRBY_H_R_002-2,坐标系4,基准轴4,j4,revolute,0.034276,0.1374,0.001,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
link5,-0.00450223853979242,0.0245775687164807,0.00926785909974535,0,0,0,0.0755292904950472,1.57108591312927E-05,-2.65891509368178E-09,-5.06696550628499E-10,3.78223232864861E-06,-3.96130529426087E-06,1.44759601190385E-05,0,0,0,0,0,0,package://qbr/meshes/link5.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link5.STL,,QRBY_HAND_FINGER_ASM_1-4/QRBY_H_R_001_1-1,坐标系5,基准轴5,j5,revolute,0.00084336,0.031988,-0.0026473,0,0,0,link4,1,0,0,0,0,-1.57,0,,,,,,,,
link6,-0.00365699730057982,0.0162113209076926,0.00027354712767666,0,0,0,0.0686348714224907,7.33254847238703E-06,-2.66340787168868E-12,1.08765081322438E-12,2.87970755794502E-06,5.37142487415025E-07,7.42284718708672E-06,0,0,0,0,0,0,package://qbr/meshes/link6.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link6.STL,,QRBY_HAND_FINGER_ASM_1-3/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM_1-3/QRBY_H_R_002-2,坐标系6,基准轴6,j6,revolute,0.012276,0.14055,0.001,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
link7,-0.00365887353581443,0.0268852930825247,0.00907687418344099,0,0,0,0.0755292952305594,1.57108601660693E-05,-2.65847990684081E-09,-5.06510838631664E-10,3.78223268736312E-06,-3.96130566158398E-06,1.44759612204894E-05,0,0,0,0,0,0,package://qbr/meshes/link7.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link7.STL,,QRBY_HAND_FINGER_ASM_1-3/QRBY_H_R_001_1-1,坐标系7,基准轴7,j7,revolute,0,0.02968,-0.0024563,0,0,0,link6,1,0,0,0,0,-1.57,0,,,,,,,,
link8,-0.00365699730057996,0.0162113209076925,0.000273547127676729,0,0,0,0.0686348714224909,7.33254847238706E-06,-2.66340798155937E-12,1.08765082198048E-12,2.87970755794502E-06,5.37142487415066E-07,7.42284718708676E-06,0,0,0,0,0,0,package://qbr/meshes/link8.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link8.STL,,QRBY_HAND_FINGER_ASM_1-2/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM_1-2/QRBY_H_R_002-2,坐标系8,基准轴8,j8,revolute,-0.009724,0.1374,0.001,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
link9,-0.00365887394452614,0.0268852939054231,0.00907687452350932,0,0,0,0.0755292904717439,1.57108591192926E-05,-2.6589152266971E-09,-5.06696620209176E-10,3.78223232752807E-06,-3.96130529054741E-06,1.44759601085164E-05,0,0,0,0,0,0,package://qbr/meshes/link9.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbr/meshes/link9.STL,,QRBY_HAND_FINGER_ASM_1-2/QRBY_H_R_001_1-1,坐标系9,基准轴9,j9,revolute,0,0.02968,-0.0024563,0,0,0,link8,1,0,0,0,0,-1.57,0,,,,,,,,
