Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0011834,0.067737,-0.00084264,0,0,0,2.6054,0.0028949,-1.3394E-05,-4.6804E-05,0.001553,2.5477E-05,0.003805,0,0,0,0,0,0,package://qbl/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/base_link.STL,,连结底座01-1;QRBY_HAND_PALM_1-L-1;QRBY_HAND_FINGER_ASM-4/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM-3/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM-2/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM-1/QRBY_H_R_004-1;QRBY_HAND_FINGER_ASM-1/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM-1/QRBY_H_R_002-1;QRBY_HAND_FINGER_ASM-2/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM-2/QRBY_H_R_002-1;QRBY_HAND_FINGER_ASM-3/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM-3/QRBY_H_R_002-1;QRBY_HAND_FINGER_ASM-4/QRBY_H_R_009-1;QRBY_HAND_FINGER_ASM-4/QRBY_H_R_002-1,坐标系12,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.010939,-0.0075415,0.010599,0,0,0,0.084877,7.453E-06,-3.6228E-07,2.2145E-06,9.4316E-06,3.0013E-07,8.5666E-06,0,0,0,0,0,0,package://qbl/meshes/Link1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link1.STL,,QRBY_HAND_THUMB_ASM-1/QRBY_H_R_016-1,坐标系1,基准轴1,J1,revolute,-0.027617,0.067519,0.010096,0,0,-0.087266,base_link,0,-1,0,0,0,-1.57,0,,,,,,,,
Link2,3.5348E-08,-0.014575,0.017417,0,0,0,0.19122,4.6251E-05,1.6945E-10,-1.7717E-10,2.9221E-05,1.3251E-05,2.9428E-05,0,0,0,0,0,0,package://qbl/meshes/Link2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link2.STL,,QRBY_HAND_THUMB_ASM-1/QRBY_H_R_014-1,坐标系2,基准轴2,J2,revolute,-0.020804,-0.0022275,0.019453,-1.5708,-0.82598,0,Link1,-1,0,0,0,0,-1.57,0,,,,,,,,
Link3,-0.00554498401549265,-0.0149955274515526,0.0035969189079702,0,0,0,0.0765973981118237,8.30144603842501E-06,-9.5356750093881E-10,2.55365645942459E-09,5.68394938581324E-06,1.93897381475041E-06,6.38402311957504E-06,0,0,0,0,0,0,package://qbl/meshes/Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbl/meshes/Link3.STL,,QRBY_HAND_THUMB_ASM-1/QRBY_H_R_012-1,坐标系3,基准轴3,J3,revolute,0.0055478,-0.030486,0.041387,0,0,0,Link2,-1,0,0,0,0,-1.57,0,,,,,,,,
Link4,0.00536263110062123,0.015915507510902,0.00310112212569524,0,0,0,0.0683287847420413,7.25253389599054E-06,-5.70124291271522E-12,-9.36000971588422E-13,2.81440005855269E-06,-2.68021038981231E-07,7.37351998350572E-06,0,0,0,0,0,0,package://qbl/meshes/Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbl/meshes/Link4.STL,,QRBY_HAND_FINGER_ASM-4/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM-4/QRBY_H_R_002-2,坐标系4,基准轴4,J4,revolute,-0.035982,0.1374,0.001,0,0,0,base_link,-1,0,0,0,0,-1.57,0,,,,,,,,
Link5,0.00449704681207759,0.0252319167423484,0.00730236996720031,0,0,0,0.0755273947118296,1.57108941986939E-05,-2.97479691158278E-09,-3.98319473259322E-10,3.22620679324468E-06,-3.07209826969602E-06,1.50311395511445E-05,0,0,0,0,0,0,package://qbl/meshes/Link5.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://qbl/meshes/Link5.STL,,QRBY_HAND_FINGER_ASM-4/QRBY_H_R_001-1,坐标系5,基准轴5,J5,revolute,0.00086299,0.03196,0.0029665,0,0,0,Link4,-1,0,0,0,0,-1.57,0,,,,,,,,
Link6,0.0044996,0.016013,0.0025531,0,0,0,0.068329,7.2525E-06,-5.6916E-12,-5.7717E-14,2.8014E-06,-1.1101E-07,7.3865E-06,0,0,0,0,0,0,package://qbl/meshes/Link6.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link6.STL,,QRBY_HAND_FINGER_ASM-3/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM-3/QRBY_H_R_002-2,坐标系6,基准轴6,J6,revolute,-0.013119,0.1374,0.001,0,0,0,base_link,-1,0,0,0,0,-1.57,0,,,,,,,,
Link7,0.0044971,0.025545,0.0061173,0,0,0,0.075527,1.5711E-05,-3.0001E-09,-2.5828E-10,2.9656E-06,-2.5086E-06,1.5292E-05,0,0,0,0,0,0,package://qbl/meshes/Link7.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link7.STL,,QRBY_HAND_FINGER_ASM-3/QRBY_H_R_001-1,坐标系7,基准轴7,J7,revolute,0,0.032043,0.001868,0,0,0,Link6,-1,0,0,0,0,-1.57,0,,,,,,,,
Link8,0.0044996,0.016172,0.0011738,0,0,0,0.068329,7.2525E-06,-5.4925E-12,1.7039E-12,2.816E-06,2.8147E-07,7.3719E-06,0,0,0,0,0,0,package://qbl/meshes/Link8.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link8.STL,,QRBY_HAND_FINGER_ASM-2/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM-2/QRBY_H_R_002-2,坐标系8,基准轴8,J8,revolute,0.0088806,0.1374,0.001,0,0,0,base_link,-1,0,0,0,0,-1.57,0,,,,,,,,
Link9,0.0044978,0.024578,0.0092678,0,0,0,0.075531,1.5711E-05,-2.7048E-09,-5.3112E-10,3.7823E-06,-3.9614E-06,1.4476E-05,0,0,0,0,0,0,package://qbl/meshes/Link9.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link9.STL,,QRBY_HAND_FINGER_ASM-2/QRBY_H_R_001-1,坐标系9,基准轴9,J9,revolute,0,0.032085,-0.00088032,0,0,0,Link8,-1,0,0,0,0,-1.57,0,,,,,,,,
Link10,0.0053626,0.016172,0.0011738,0,0,0,0.068329,7.2525E-06,-5.4925E-12,1.7039E-12,2.816E-06,2.8147E-07,7.3719E-06,0,0,0,0,0,0,package://qbl/meshes/Link10.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link10.STL,,QRBY_HAND_FINGER_ASM-1/QRBY_H_R_007-1;QRBY_HAND_FINGER_ASM-1/QRBY_H_R_002-2,坐标系10,基准轴10,J10,revolute,0.030018,0.13417,0.001,0,0,0,base_link,-1,0,0,0,0,-1.57,0,,,,,,,,
Link11,0.0044978,0.024578,0.0092678,0,0,0,0.075531,1.5711E-05,-2.7048E-09,-5.3112E-10,3.7823E-06,-3.9614E-06,1.4476E-05,0,0,0,0,0,0,package://qbl/meshes/Link11.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://qbl/meshes/Link11.STL,,QRBY_HAND_FINGER_ASM-1/QRBY_H_R_001-1,坐标系11,基准轴11,J11,revolute,0.00086299,0.032085,-0.00088032,0,0,0,Link10,-1,0,0,0,0,-1.57,0,,,,,,,,
